0,1,2,3,4,5
Plug / Pin Gages & Outside Cylindrical Diameter,,Up to 1 in,,(6.7 + 1.8L) µin,Laser scan micrometer
Plug / Pin Gages & Outside Cylindrical Diameter,,(1 to 10) in,,(13 + 1.1L) µin,"P&W Supermicrometer, gage blocks"
Plain Rings & Inside Cylindrical Diameter,,(0.04 to 11) in,,(4.6 + 0.91D) µin,"Internal Supermicrometer, master gage blocks"
Straight Threaded Plug Gages,Pitch Diameter (TPI 4.5 to 96),Up to 6 in,,(76 + 6.0D) µin,3-wire method
Straight Threaded Plug Gages,Major Diameter,Up to 5 in,,(24 + 1D) µin,"P&W Supermicrometer, gage blocks"
Tapered Threaded Plug Gages,Pitch Diameter,Up to 4 in,,92 µin,"3-wire method, tapered sine block"
Tapered Threaded Plug Gages,Major Diameter,Up to 4.5 in,,22 µin,"P&W Supermicrometer, gage blocks"
Adjustable Threaded Ring Gages,,(0.05 to 2) in diameter,,(84 + 10D) µin,Setting plugs
