0,1,2,3,4,5
Indirect Verification of Rockwell Hardness Testers,HR30TW,Low,,0.58 HR30TW,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HR30TW,Medium,,0.64 HR30TW,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HR30TW,High,,0.22 HR30TW,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HR45TW,Low,,0.70 HR45TW,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HR45TW,Medium,,0.40 HR45TW,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HR45TW,High,,0.39 HR45TW,Indirect verification per ASTM E18
Direct Verification of Rockwell Hardness Testers,Verification of Test,(3 to 15) kgf,,0.005 kgf + 0.03 % rdg,Verification of test force by load cell
Direct Verification of Rockwell Hardness Testers,Force,(30 to 150) kgf,,0.049 kgf + 0.02 % rdg,Verification of test force by load cell
Direct Verification of Rockwell Hardness Testers,Verification of Depth-Measuring,(0 to 260) µm,,0.31 µm,Per direct verification method of ASTM E18
Direct Verification of Rockwell Hardness Testers,Verification of,---,,0.25 Rockwell Points,Per direct verification method of ASTM E18
Indirect Verification of Brinell Hardness Testers at Test Condition(s),10/3000/15; Repeatability:,≤ 225 HBW,,0.024D,D is the mean of the n mean test diameters in millimeters
Indirect Verification of Brinell Hardness Testers at Test Condition(s),10/3000/15; Repeatability:,(> 225 to 650) HBW,,0.013D,Error uncertainty is stated as a percentage of the standardized test block value
Indirect Verification of Brinell Hardness Testers at Test Condition(s),10/3000/15; Error:,,,1.5 %,Error uncertainty is stated as a percentage of the standardized test block value
Indirect Verification of Brinell Hardness Testers at Test Condition(s),10/500/15; Repeatability:,(40 to 126) HBW,,0.024D,Error uncertainty is stated as a percentage of the standardized test block value
Indirect Verification of Brinell Hardness Testers at Test Condition(s),10/500/15; Error:,,,1.9 %,Error uncertainty is stated as a percentage of the standardized test block value
