0,1,2,3,4,5
Steel Rules,Length,Up to 72 in,,(590 + 1.5L) µin,Gage blocks
Steel Rules,Graduations,----,,(670 + 16L) µin,Glass scale
Surface Plates,Flatness,Up to 300 in diagonal,,(8.7 + 1.2L) µin,LDDM
Surface Plates,Repeat Reading,----,,(6.8 + 0.017L) µin,Repeat reading gage
Optical Comparators,Linearity,12 in travel,,(12 + 3.4L) µin,Glass scale
Optical Comparators,Angle,±180º,,40 arc seconds,Glass scale
Optical Comparators,Magnification Accuracy,5X to 100X,,0.013 % of magnification,Glass scale
Measuring Tapes,Length,Up to 330 ft,,(0.0073 +,Test frame
Measuring Tapes,Length,,,0.000 0069L) in,Test frame
Measuring Tapes,Graduations,----,,0.0018 in,Glass scale
Wire Crimpers,Cylindrical Crimping Chamber,(0.011 to 0.500) in,,650 µin,Pin gages
Wire Crimpers,Shaped Crimping Chamber,Up to 1 in,,280 µin,Optical comparator
Wire Crimpers,Crimp Height,Up to 1 in,,190 µin,Crimp height micrometer
Air Gages,,(-0.0015 to +0.0015) in,,25 µin,Magnification test kit
