0,1,2,3,4,5
Indirect Verification of Rockwell Hardness Testers,HRA,Low,,0.31 HRA,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HRA,Medium,,0.32 HRA,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HRA,High,,0.20 HRA,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HRBW,Low,,0.36 HRBW,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HRBW,Medium,,0.26 HRBW,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HRBW,High,,0.39 HRBW,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HRC,Low,,0.39 HRC,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HRC,Medium,,0.33 HRC,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HRC,High,,0.32 HRC,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HREW,Low,,0.38 HREW,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HREW,Medium,,0.49 HREW,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HREW,High,,0.49 HREW,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HRFW,Low,,0.28 HRFW,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HRFW,Medium,,0.46 HRFW,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HRFW,High,,0.45 HRFW,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HRHW,Low,,0.42 HRHW,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HRHW,High,,0.36 HRHW,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HR15N,Low,,0.42 HR15N,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HR15N,Medium,,0.42 HR15N,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HR15N,High,,0.51 HR15N,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HR30N,Low,,0.30 HR30N,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HR30N,Medium,,0.47 HR30N,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HR30N,High,,0.53 HR30N,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HR45N,Low,,0.50 HR45N,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HR45N,Medium,,0.25 HR45N,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HR45N,High,,0.20 HR45N,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HR15TW,Low,,0.44 HR15TW,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HR15TW,Medium,,0.39 HR15TW,Indirect verification per ASTM E18
Indirect Verification of Rockwell Hardness Testers,HR15TW,High,,0.32 HR15TW,Indirect verification per ASTM E18
