0,1,2,3,4,5
HP 3458A,AC Voltage – Measure,(10 to 100) V,(1 to 40) Hz,0.023 % + 4.8 mV,HP 3458A
HP 3458A,AC Voltage – Measure,(10 to 100) V,40 Hz to 1 kHz,0.023 % + 2.5 mV,HP 3458A
HP 3458A,AC Voltage – Measure,(10 to 100) V,(1 to 20) kHz,0.023 % + 2.5 mV,HP 3458A
HP 3458A,AC Voltage – Measure,(10 to 100) V,(20 to 50) kHz,0.04 % + 2.8 mV,HP 3458A
HP 3458A,AC Voltage – Measure,(10 to 100) V,(50 to 100) kHz,0.14 % + 2.4 mV,HP 3458A
HP 3458A,AC Voltage – Measure,(10 to 100) V,(100 to 300) kHz,0.46 % + 14 mV,HP 3458A
HP 3458A,AC Voltage – Measure,(10 to 100) V,300 kHz to 1 MHz,1.7 % + 44 mV,HP 3458A
HP 3458A,AC Voltage – Measure,(100 to 1000) V,(1 to 40) Hz,0.046 % + 49 mV,HP 3458A
HP 3458A,AC Voltage – Measure,(100 to 1000) V,40 Hz to 1 kHz,0.046 % + 26 mV,HP 3458A
HP 3458A,AC Voltage – Measure,(100 to 1000) V,(1 to 20) kHz,0.07 % + 23 mV,HP 3458A
HP 3458A,AC Voltage – Measure,(100 to 1000) V,(20 to 50) kHz,0.14 % + 23 mV,HP 3458A
HP 3458A,AC Voltage – Measure,(100 to 1000) V,(50 to 100) kHz,0.35 % + 23 mV,HP 3458A
Fluke 5502A or HP,AC Voltage – Generate,(1 to 10) mV,(1 to 40) Hz,0.034 % + 3.6 µV,Fluke 5502A or HP
Fluke 5502A or HP,AC Voltage – Generate,(1 to 10) mV,40 Hz to 1 kHz,0.022 % + 1.5 µV,"3245A, monitored by HP 3458A"
Fluke 5502A or HP,AC Voltage – Generate,(1 to 10) mV,(1 to 20) kHz,0.033 % + 1.5 µV,"3245A, monitored by HP 3458A"
Fluke 5502A or HP,AC Voltage – Generate,(1 to 10) mV,(20 to 50) kHz,0.11 % + 1.9 µV,"3245A, monitored by HP 3458A"
Fluke 5502A or HP,AC Voltage – Generate,(1 to 10) mV,(50 to 100) kHz,0.58 % + 1.5 µV,"3245A, monitored by HP 3458A"
Fluke 5502A or HP,AC Voltage – Generate,(1 to 10) mV,(100 to 300) kHz,4.6 % + 4.2 µV,"3245A, monitored by HP 3458A"
Fluke 5502A or HP,AC Voltage – Generate,(1 to 10) mV,300 kHz to 1 MHz,4.6 % + 7.7 µV,"3245A, monitored by HP 3458A"
Fluke 5502A or HP,AC Voltage – Generate,(10 to 100) mV,(1 to 40) Hz,83 µV/V + 4.7 µV,"3245A, monitored by HP 3458A"
Fluke 5502A or HP,AC Voltage – Generate,(10 to 100) mV,40 Hz to 1 kHz,83 µV/V + 2.4 µV,"3245A, monitored by HP 3458A"
Fluke 5502A or HP,AC Voltage – Generate,(10 to 100) mV,(1 to 20) kHz,0.016 % + 2.7 µV,"3245A, monitored by HP 3458A"
Fluke 5502A or HP,AC Voltage – Generate,(10 to 100) mV,(20 to 50) kHz,0.035 % + 2.4 µV,"3245A, monitored by HP 3458A"
Fluke 5502A or HP,AC Voltage – Generate,(10 to 100) mV,(50 to 100) kHz,0.092 % + 2.8 µV,"3245A, monitored by HP 3458A"
Fluke 5502A or HP,AC Voltage – Generate,(10 to 100) mV,(100 to 300) kHz,0.35 % + 12 µV,"3245A, monitored by HP 3458A"
Fluke 5502A or HP,AC Voltage – Generate,(10 to 100) mV,300 kHz to 1 MHz,1.2 % + 12 µV,"3245A, monitored by HP 3458A"
Fluke 5502A or HP,AC Voltage – Generate,100 mV to 1 V,(1 to 40) Hz,82 µV/V + 47 µV,"3245A, monitored by HP 3458A"
Fluke 5502A or HP,AC Voltage – Generate,100 mV to 1 V,40 Hz to 1 kHz,82 µV/V + 24 µV,"3245A, monitored by HP 3458A"
Fluke 5502A or HP,AC Voltage – Generate,100 mV to 1 V,(1 to 20) kHz,0.016 % + 26 µV,"3245A, monitored by HP 3458A"
Fluke 5502A or HP,AC Voltage – Generate,100 mV to 1 V,(20 to 50) kHz,0.035 % + 24 µV,"3245A, monitored by HP 3458A"
Fluke 5502A or HP,AC Voltage – Generate,100 mV to 1 V,(50 to 100) kHz,0.092 % + 28 µV,"3245A, monitored by HP 3458A"
Fluke 5502A or HP,AC Voltage – Generate,100 mV to 1 V,(100 to 300) kHz,0.35 % + 120 µV,"3245A, monitored by HP 3458A"
Fluke 5502A or HP,AC Voltage – Generate,100 mV to 1 V,300 kHz to 1 MHz,1.2 % + 120 µV,"3245A, monitored by HP 3458A"
